my ipm,word,Freq(ipm)
9625.333812724542,быть,12160.7
6707.817461733329,год,3727.5
5491.956931640094,который,4209.0
4083.973970155153,этот,5414.0
4018.103422249425,город,573.4
3762.855049114727,он,11791.1
3038.2790221517157,здесь,796.8
3016.322172849807,весь,3786.3
2914.771744828476,дворец,60.5
2840.6673784345317,один,529.5
2835.178166109054,самый,1007.4
2774.796830528803,время,2015.7
2714.4154949485524,здание,129.9
2675.9910086702107,музей,87.0
2651.289553205563,можно,1125.9
2643.055734717347,они,4850.0
2604.631248439005,вы,2906.4
2549.739125184232,свой,3825.5
2330.1706321651372,дом,792.6
2316.447601351444,место,926.6
2110.602139146043,большой,944.4
2088.645289844134,первый,1345.6
2011.7963172874508,тело,285.9
1992.58407414828,его,2577.9
1926.7135262425518,тот,2967.1
1918.479707754336,становиться,259.3
1863.5875844995621,площадь,145.2
1863.5875844995621,день,1258.4
1781.249399617402,церковь,178.6
1715.3788517116736,она,5592.4
1709.8896393861962,находиться,342.7
1633.0406668295136,мост,65.4
1633.0406668295136,все,433.3
1605.5946052021266,центр,265.9
1600.1053928766491,страна,725.7
1534.2348449709211,другой,1837.3
1490.321146367102,новый,1217.5
1487.5765402043635,мочь,0.8
1454.6412662514992,где,1129.2
1391.5153245085096,построить,114.9
1372.303081369339,век,1.5
1372.303081369339,два,1285.1
1355.8354443929068,часть,585.4
1306.4325334636108,парк,69.5
1287.22029032444,вид,620.1
1202.1374992795406,очень,1286.8
1202.1374992795406,улица,337.8
1196.6482869540637,остров,95.7
1193.9036807913249,главный,454.6
1188.4144684658474,архитектор,33.3
1177.4360438148926,располагать,28.3
1174.691437652154,такой,2696.8
1160.9684068384606,себя,2272.8
1119.7993143973806,старый,368.5
1056.673372654391,работа,1058.3
1051.1841603289135,называть,293.4
1048.439554166175,много,84.0
1042.9503418406975,собор,45.8
1020.993492538788,человек,2723.0
996.29203707414,проект,225.9
990.8028247486627,канал,71.5
971.590581609492,сторона,768.3
968.8459754467532,сад,135.8
952.3783384703212,театр,305.3
938.6553076566278,несколько,88.2
933.1660953311504,русский,530.5
913.9538521919796,название,151.8
911.2092460292412,м,3.9
911.2092460292412,получать,188.2
